time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-12T12:43:19.242Z,30.483,138.6138,400.803,4.5,mb,70,135,2.816,0.58,us,us6000m39s,2024-01-12T13:00:55.040Z,"Izu Islands, Japan region",earthquake,8.23,6.665,0.056,95,reviewed,us,us
2024-01-12T12:10:22.737Z,37.1818,136.8656,9.855,4.5,mb,50,68,1.247,0.61,us,us6000m39q,2024-01-12T12:30:07.040Z,"6 km SSW of Anamizu, Japan",earthquake,4.79,4.386,0.099,30,reviewed,us,us
2024-01-12T10:58:48.447Z,-19.1269,-12.2161,10,5,mb,39,55,6.929,0.71,us,us6000m39l,2024-01-12T11:21:10.040Z,"southern Mid-Atlantic Ridge",earthquake,10.27,1.876,0.066,74,reviewed,us,us
2024-01-12T10:45:45.830Z,17.9065,-66.8773333333333,6.75,2.57,md,6,230,0.0682,0.17,pr,pr71436738,2024-01-12T10:55:50.800Z,"7 km SSE of Guánica, Puerto Rico",earthquake,1.08,0.45,0.114339148891611,5,reviewed,pr,pr
2024-01-12T09:48:00.072Z,8.3104,126.7961,37.358,4.7,mb,33,132,1.725,0.73,us,us6000m39g,2024-01-12T10:22:03.040Z,"43 km ENE of Barcelona, Philippines",earthquake,6.4,8.454,0.096,33,reviewed,us,us
2024-01-12T09:31:32.279Z,1.2113,126.2819,76.471,4.6,mb,40,89,1.169,0.75,us,us6000m39e,2024-01-12T10:05:16.040Z,"130 km E of Bitung, Indonesia",earthquake,9.68,8.276,0.095,33,reviewed,us,us
2024-01-12T08:29:08.995Z,37.4485,137.3084,9.598,4.5,mb,36,89,0.956,0.64,us,us6000m39a,2024-01-12T10:44:37.040Z,"43 km ENE of Anamizu, Japan",earthquake,4.99,4.627,0.128,18,reviewed,us,us
2024-01-12T08:01:49.472Z,1.392,-101.2481,10,4.9,mb,40,200,16.284,0.49,us,us6000m39d,2024-01-12T10:42:03.040Z,"Galapagos Triple Junction region",earthquake,14.48,1.931,0.096,34,reviewed,us,us
2024-01-12T07:46:21.305Z,56.3819,-135.8043,20.2,5.9,mww,,,,0.52,ak,ak024jyw3sk,2024-01-14T07:56:23.494Z,"73 km W of Port Alexander, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2024-01-12T06:32:03.820Z,1.414,-101.3408,10,4.9,mb,80,212,16.278,0.94,us,us6000m391,2024-01-12T06:48:08.040Z,"Galapagos Triple Junction region",earthquake,15.12,1.948,0.037,223,reviewed,us,us
2024-01-12T06:06:15.557Z,32.321,-101.826,6.3827,2.6,ml,24,34,0,0.1,tx,tx2024auoq,2024-01-12T18:35:59.583Z,"21 km N of Stanton, Texas",earthquake,0.3998606209,0.4684238306,0.3,18,reviewed,tx,tx
2024-01-12T04:10:11.727Z,36.6454,70.9512,219.027,4.2,mb,55,75,2.906,0.97,us,us6000m38m,2024-01-12T06:00:13.040Z,"26 km SSE of Jurm, Afghanistan",earthquake,7.79,7.593,0.095,31,reviewed,us,us
2024-01-12T03:51:06.103Z,34.8783,22.8673,29.86,5,mb,89,63,1.708,1.22,us,us6000m38i,2024-01-13T05:25:15.084Z,"83 km WSW of Palaióchora, Greece",earthquake,7.18,5.457,0.042,180,reviewed,us,us
2024-01-12T03:35:52.063Z,-20.6558,169.8201,124.351,4.8,mb,37,87,2.944,0.66,us,us6000m38e,2024-01-12T03:56:33.040Z,"135 km SSE of Isangel, Vanuatu",earthquake,4.66,7.565,0.074,62,reviewed,us,us
2024-01-12T03:34:56.949Z,54.8482,160.4957,109.844,4.3,mb,62,125,2.129,0.62,us,us6000m38g,2024-01-12T04:24:03.040Z,"100 km SSE of Atlasovo, Russia",earthquake,11.59,7.739,0.073,54,reviewed,us,us
2024-01-12T03:07:39.744Z,18.9438,144.7815,10,5,mb,44,105,3.814,0.53,us,us6000m38b,2024-01-14T03:17:43.207Z,"Pagan region, Northern Mariana Islands",earthquake,3.73,1.863,0.086,45,reviewed,us,us
2024-01-12T03:00:10.202Z,-60.7397,-33.9852,10,4.8,mb,20,61,6.613,1.22,us,us6000m38a,2024-01-12T03:41:54.040Z,"Scotia Sea",earthquake,10.96,1.932,0.131,19,reviewed,us,us
2024-01-12T02:05:00.643Z,4.8442,126.3732,11.357,4.8,mb,49,112,2.348,0.75,us,us6000m387,2024-01-12T02:24:06.040Z,"118 km ESE of Sarangani, Philippines",earthquake,7.91,4.353,0.094,42,reviewed,us,us
2024-01-12T01:44:05.615Z,10.5334,-85.8306,49.604,4.3,mb,46,173,0.596,0.7,us,us6000m385,2024-01-13T19:33:35.656Z,"20 km W of Sardinal, Costa Rica",earthquake,6.94,9.381,0.073,53,reviewed,us,us
2024-01-12T00:30:07.408Z,-5.755,146.4626,62.635,4.7,mb,44,79,5.888,1.12,us,us6000m37y,2024-01-12T00:46:29.040Z,"88 km NE of Kainantu, Papua New Guinea",earthquake,9.64,7.266,0.09,38,reviewed,us,us
2024-01-12T00:20:39.985Z,60.5487,-150.8037,38.2,2.5,ml,,,,0.63,ak,ak024jukjby,2024-01-12T00:53:43.040Z,"2 km WNW of Sterling, Alaska",earthquake,,0.8,,,automatic,ak,ak
2024-01-11T23:21:05.799Z,36.7538,71.1201,101.602,4.3,mb,21,107,2.772,0.36,us,us6000m37t,2024-01-11T23:45:58.040Z,"28 km ESE of Jurm, Afghanistan",earthquake,9.79,12.225,0.126,18,reviewed,us,us
2024-01-11T22:34:24.162Z,-32.6266,-70.0329,112.016,4.6,mb,34,72,0.458,0.68,us,us6000m37h,2024-01-11T23:11:17.040Z,"57 km ENE of Los Andes, Chile",earthquake,5.1,5.836,0.206,7,reviewed,us,us
2024-01-11T21:52:35.538Z,-18.8318,-178.0487,498.519,4.8,mb,50,45,3.545,0.64,us,us6000m37d,2024-01-14T05:51:02.040Z,"290 km ESE of Levuka, Fiji",earthquake,12.72,7.548,0.06,86,reviewed,us,us
2024-01-11T21:11:53.730Z,19.3313,-65.9513,102,3.72,md,18,258,1.0308,0.37,pr,pr202401100,2024-01-14T05:34:09.040Z,"97 km N of San Juan, Puerto Rico",earthquake,4.78,7.21,0.12,13,reviewed,pr,pr
2024-01-11T21:05:11.913Z,36.5174,70.5594,222.966,4.1,mb,25,140,3.113,0.33,us,us6000m371,2024-01-11T23:22:44.040Z,"45 km SSW of Jurm, Afghanistan",earthquake,5.85,13.189,0.184,8,reviewed,us,us
